"seed","res.util","block.prob","max.tunnels","max.instances","startstop.duration"
"291",1192722770,3090.23403931,0,11300,1,20
"292",461027504,3012.02136481,0,11300,1,20
"293",1020231754,3008.8313839,0,11300,1,20
"294",1543757328,3030.05444548,0,11300,1,20
"295",1392765670,3036.23438898,0,11300,1,20
"296",1687847778,3034.77624592,0,11300,1,20
"297",2000377588,3010.21631129,0,11300,1,20
"298",769458329,3035.5230669,0,11300,1,20
"299",2029806316,3074.88898893,0,11300,1,20
"300",1110609850,3008.71527032,0,11300,1,20
"301",1192722770,3855.55500089,0,11300,1,20
"302",461027504,3802.32417611,0,11300,1,20
"303",1020231754,3831.7162197,0,11300,1,20
"304",1543757328,3826.55006503,0,11300,1,20
"305",1392765670,3817.01537327,0,11300,1,20
"306",1687847778,3833.30448439,0,11300,1,20
"307",2000377588,3827.29599449,0,11300,1,20
"308",769458329,3779.90462449,0,11300,1,20
"309",2029806316,3843.74254804,0,11300,1,20
"310",1110609850,3818.36735747,0,11300,1,20
"311",1192722770,3090.23403931,0,11400,1,20
"312",461027504,3012.02136481,0,11400,1,20
"313",1020231754,3008.8313839,0,11400,1,20
"314",1543757328,3030.05444548,0,11400,1,20
"315",1392765670,3036.23438898,0,11400,1,20
"316",1687847778,3034.77624592,0,11400,1,20
"317",2000377588,3010.21631129,0,11400,1,20
"318",769458329,3035.5230669,0,11400,1,20
"319",2029806316,3074.88898893,0,11400,1,20
"320",1110609850,3008.71527032,0,11400,1,20
"321",1192722770,3855.55500089,0,11400,1,20
"322",461027504,3802.32417611,0,11400,1,20
"323",1020231754,3831.7162197,0,11400,1,20
"324",1543757328,3826.55006503,0,11400,1,20
"325",1392765670,3817.01537327,0,11400,1,20
"326",1687847778,3833.30448439,0,11400,1,20
"327",2000377588,3827.29599449,0,11400,1,20
"328",769458329,3779.90462449,0,11400,1,20
"329",2029806316,3843.74254804,0,11400,1,20
"330",1110609850,3818.36735747,0,11400,1,20
"331",1192722770,3090.23403931,0,11500,1,20
"332",461027504,3012.02136481,0,11500,1,20
"333",1020231754,3008.8313839,0,11500,1,20
"334",1543757328,3030.05444548,0,11500,1,20
"335",1392765670,3036.23438898,0,11500,1,20
"336",1687847778,3034.77624592,0,11500,1,20
"337",2000377588,3010.21631129,0,11500,1,20
"338",769458329,3035.5230669,0,11500,1,20
"339",2029806316,3074.88898893,0,11500,1,20
"340",1110609850,3008.71527032,0,11500,1,20
"341",1192722770,3855.55500089,0,11500,1,20
"342",461027504,3802.32417611,0,11500,1,20
"343",1020231754,3831.7162197,0,11500,1,20
"344",1543757328,3826.55006503,0,11500,1,20
"345",1392765670,3817.01537327,0,11500,1,20
"346",1687847778,3833.30448439,0,11500,1,20
"347",2000377588,3827.29599449,0,11500,1,20
"348",769458329,3779.90462449,0,11500,1,20
"349",2029806316,3843.74254804,0,11500,1,20
"350",1110609850,3818.36735747,0,11500,1,20
"351",1192722770,3090.23403931,0,11600,1,20
"352",461027504,3012.02136481,0,11600,1,20
"353",1020231754,3008.8313839,0,11600,1,20
"354",1543757328,3030.05444548,0,11600,1,20
"355",1392765670,3036.23438898,0,11600,1,20
"356",1687847778,3034.77624592,0,11600,1,20
"357",2000377588,3010.21631129,0,11600,1,20
"358",769458329,3035.5230669,0,11600,1,20
"359",2029806316,3074.88898893,0,11600,1,20
"360",1110609850,3008.71527032,0,11600,1,20
"361",1192722770,3855.55500089,0,11600,1,20
"362",461027504,3802.32417611,0,11600,1,20
"363",1020231754,3831.7162197,0,11600,1,20
"364",1543757328,3826.55006503,0,11600,1,20
"365",1392765670,3817.01537327,0,11600,1,20
"366",1687847778,3833.30448439,0,11600,1,20
"367",2000377588,3827.29599449,0,11600,1,20
"368",769458329,3779.90462449,0,11600,1,20
"369",2029806316,3843.74254804,0,11600,1,20
"370",1110609850,3818.36735747,0,11600,1,20
"371",1192722770,3090.23403931,0,11700,1,20
"372",461027504,3012.02136481,0,11700,1,20
"373",1020231754,3008.8313839,0,11700,1,20
"374",1543757328,3030.05444548,0,11700,1,20
"375",1392765670,3036.23438898,0,11700,1,20
"376",1687847778,3034.77624592,0,11700,1,20
"377",2000377588,3010.21631129,0,11700,1,20
"378",769458329,3035.5230669,0,11700,1,20
"379",2029806316,3074.88898893,0,11700,1,20
"380",1110609850,3008.71527032,0,11700,1,20
"381",1192722770,3855.55500089,0,11700,1,20
"382",461027504,3802.32417611,0,11700,1,20
"383",1020231754,3831.7162197,0,11700,1,20
"384",1543757328,3826.55006503,0,11700,1,20
"385",1392765670,3817.01537327,0,11700,1,20
"386",1687847778,3833.30448439,0,11700,1,20
"387",2000377588,3827.29599449,0,11700,1,20
"388",769458329,3779.90462449,0,11700,1,20
"389",2029806316,3843.74254804,0,11700,1,20
"390",1110609850,3818.36735747,0,11700,1,20
"391",1192722770,3090.23403931,0,11800,1,20
"392",461027504,3012.02136481,0,11800,1,20
"393",1020231754,3008.8313839,0,11800,1,20
"394",1543757328,3030.05444548,0,11800,1,20
"395",1392765670,3036.23438898,0,11800,1,20
"396",1687847778,3034.77624592,0,11800,1,20
"397",2000377588,3010.21631129,0,11800,1,20
"398",769458329,3035.5230669,0,11800,1,20
"399",2029806316,3074.88898893,0,11800,1,20
"400",1110609850,3008.71527032,0,11800,1,20
"401",1192722770,3855.55500089,0,11800,1,20
"402",461027504,3802.32417611,0,11800,1,20
"403",1020231754,3831.7162197,0,11800,1,20
"404",1543757328,3826.55006503,0,11800,1,20
"405",1392765670,3817.01537327,0,11800,1,20
